Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,60,100,50,20,0.03,60,0.05,125,0.1,0,0.2
2,120,100,50,20,0.03,60,0.05,125,0.1,0,0.2
3,70,100,50,20,0.03,60,0.05,125,0.1,0,0.2
4,100,100,50,20,0.03,60,0.05,125,0.1,0,0.2
5,30,100,50,20,0.03,60,0.05,125,0.1,0,0.2
6,70,100,50,20,0.03,60,0.05,125,0.1,0,0.2
7,20,100,50,20,0.03,60,0.05,125,0.1,0,0.2
8,20,100,50,20,0.03,60,0.05,125,0.1,0,0.2
9,120,100,50,20,0.03,60,0.05,125,0.1,0,0.2
10,80,100,50,20,0.03,60,0.05,125,0.1,0,0.2
11,120,100,50,20,0.03,60,0.05,125,0.1,0,0.2
12,100,100,50,20,0.03,60,0.05,125,0.1,0,0.2
13,70,100,50,20,0.03,60,0.05,125,0.1,0,0.2
14,40,100,50,20,0.03,60,0.05,125,0.1,0,0.2
15,10,100,50,20,0.03,60,0.05,125,0.1,0,0.2
16,80,100,50,20,0.03,60,0.05,125,0.1,0,0.2
17,50,100,50,20,0.03,60,0.05,125,0.1,0,0.2
18,85,100,50,20,0.03,60,0.05,125,0.1,0,0.2
19,40,100,50,20,0.03,60,0.05,125,0.1,0,0.2
20,20,100,50,20,0.03,60,0.05,125,0.1,0,0.2
21,30,100,50,20,0.03,60,0.05,125,0.1,0,0.2
22,60,100,50,20,0.03,60,0.05,125,0.1,0,0.2
23,50,100,50,20,0.03,60,0.05,125,0.1,0,0.2
24,40,100,50,20,0.03,60,0.05,125,0.1,0,0.2
25,90,100,50,20,0.03,60,0.05,125,0.1,0,0.2
26,50,100,50,20,0.03,60,0.05,125,0.1,0,0.2
27,90,100,50,20,0.03,60,0.05,125,0.1,0,0.2
28,70,100,50,20,0.03,60,0.05,125,0.1,0,0.2
29,50,100,50,20,0.03,60,0.05,125,0.1,0,0.2
30,90,100,50,20,0.03,60,0.05,125,0.1,0,0.2
