Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,150,100,50,20,0,60,0.05,130,0.1,0,0.2
2,60,100,50,20,0,60,0.05,130,0.1,0,0.2
3,110,100,50,20,0,60,0.05,130,0.1,0,0.2
4,50,100,50,20,0,60,0.05,130,0.1,0,0.2
5,0,100,50,20,0,60,0.05,130,0.1,0,0.2
6,80,100,50,20,0,60,0.05,130,0.1,0,0.2
7,50,100,50,20,0,60,0.05,130,0.1,0,0.2
8,90,100,50,20,0,60,0.05,130,0.1,0,0.2
9,90,100,50,20,0,60,0.05,130,0.1,0,0.2
10,90,100,50,20,0,60,0.05,130,0.1,0,0.2
11,50,100,50,20,0,60,0.05,130,0.1,0,0.2
12,10,100,50,20,0,60,0.05,130,0.1,0,0.2
13,140,100,50,20,0,60,0.05,130,0.1,0,0.2
14,70,100,50,20,0,60,0.05,130,0.1,0,0.2
15,130,100,50,20,0,60,0.05,130,0.1,0,0.2
16,70,100,50,20,0,60,0.05,130,0.1,0,0.2
17,80,100,50,20,0,60,0.05,130,0.1,0,0.2
18,70,100,50,20,0,60,0.05,130,0.1,0,0.2
19,50,100,50,20,0,60,0.05,130,0.1,0,0.2
20,100,100,50,20,0,60,0.05,130,0.1,0,0.2
21,110,100,50,20,0,60,0.05,130,0.1,0,0.2
22,30,100,50,20,0,60,0.05,130,0.1,0,0.2
23,130,100,50,20,0,60,0.05,130,0.1,0,0.2
24,50,100,50,20,0,60,0.05,130,0.1,0,0.2
25,100,100,50,20,0,60,0.05,130,0.1,0,0.2
26,20,100,50,20,0,60,0.05,130,0.1,0,0.2
27,110,100,50,20,0,60,0.05,130,0.1,0,0.2
28,110,100,50,20,0,60,0.05,130,0.1,0,0.2
29,90,100,50,20,0,60,0.05,130,0.1,0,0.2
30,50,100,50,20,0,60,0.05,130,0.1,0,0.2
