Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,130,100,50,20,0,70,0.05,125,0.1,0,0.2
2,100,100,50,20,0,70,0.05,125,0.1,0,0.2
3,70,100,50,20,0,70,0.05,125,0.1,0,0.2
4,70,100,50,20,0,70,0.05,125,0.1,0,0.2
5,40,100,50,20,0,70,0.05,125,0.1,0,0.2
6,0,100,50,20,0,70,0.05,125,0.1,0,0.2
7,40,100,50,20,0,70,0.05,125,0.1,0,0.2
8,120,100,50,20,0,70,0.05,125,0.1,0,0.2
9,150,100,50,20,0,70,0.05,125,0.1,0,0.2
10,30,100,50,20,0,70,0.05,125,0.1,0,0.2
11,40,100,50,20,0,70,0.05,125,0.1,0,0.2
12,50,100,50,20,0,70,0.05,125,0.1,0,0.2
13,70,100,50,20,0,70,0.05,125,0.1,0,0.2
14,140,100,50,20,0,70,0.05,125,0.1,0,0.2
15,100,100,50,20,0,70,0.05,125,0.1,0,0.2
16,120,100,50,20,0,70,0.05,125,0.1,0,0.2
17,70,100,50,20,0,70,0.05,125,0.1,0,0.2
18,70,100,50,20,0,70,0.05,125,0.1,0,0.2
19,120,100,50,20,0,70,0.05,125,0.1,0,0.2
20,60,100,50,20,0,70,0.05,125,0.1,0,0.2
21,120,100,50,20,0,70,0.05,125,0.1,0,0.2
22,60,100,50,20,0,70,0.05,125,0.1,0,0.2
23,80,100,50,20,0,70,0.05,125,0.1,0,0.2
24,40,100,50,20,0,70,0.05,125,0.1,0,0.2
25,30,100,50,20,0,70,0.05,125,0.1,0,0.2
26,120,100,50,20,0,70,0.05,125,0.1,0,0.2
27,50,100,50,20,0,70,0.05,125,0.1,0,0.2
28,70,100,50,20,0,70,0.05,125,0.1,0,0.2
29,60,100,50,20,0,70,0.05,125,0.1,0,0.2
30,0,100,50,20,0,70,0.05,125,0.1,0,0.2
