Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,115,300,50,20,0,60,0.05,125,0.1,0,0.2
2,125,300,50,20,0,60,0.05,125,0.1,0,0.2
3,310,300,50,20,0,60,0.05,125,0.1,0,0.2
4,290,300,50,20,0,60,0.05,125,0.1,0,0.2
5,220,300,50,20,0,60,0.05,125,0.1,0,0.2
6,320,300,50,20,0,60,0.05,125,0.1,0,0.2
7,150,300,50,20,0,60,0.05,125,0.1,0,0.2
8,210,300,50,20,0,60,0.05,125,0.1,0,0.2
9,220,300,50,20,0,60,0.05,125,0.1,0,0.2
10,330,300,50,20,0,60,0.05,125,0.1,0,0.2
11,95,300,50,20,0,60,0.05,125,0.1,0,0.2
12,210,300,50,20,0,60,0.05,125,0.1,0,0.2
13,290,300,50,20,0,60,0.05,125,0.1,0,0.2
14,205,300,50,20,0,60,0.05,125,0.1,0,0.2
15,260,300,50,20,0,60,0.05,125,0.1,0,0.2
16,210,300,50,20,0,60,0.05,125,0.1,0,0.2
17,220,300,50,20,0,60,0.05,125,0.1,0,0.2
18,330,300,50,20,0,60,0.05,125,0.1,0,0.2
19,280,300,50,20,0,60,0.05,125,0.1,0,0.2
20,200,300,50,20,0,60,0.05,125,0.1,0,0.2
21,190,300,50,20,0,60,0.05,125,0.1,0,0.2
22,180,300,50,20,0,60,0.05,125,0.1,0,0.2
23,220,300,50,20,0,60,0.05,125,0.1,0,0.2
24,260,300,50,20,0,60,0.05,125,0.1,0,0.2
25,195,300,50,20,0,60,0.05,125,0.1,0,0.2
26,240,300,50,20,0,60,0.05,125,0.1,0,0.2
27,175,300,50,20,0,60,0.05,125,0.1,0,0.2
28,15,300,50,20,0,60,0.05,125,0.1,0,0.2
29,300,300,50,20,0,60,0.05,125,0.1,0,0.2
30,130,300,50,20,0,60,0.05,125,0.1,0,0.2
