Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,40,100,50,20,0,60,0.05,115,0.1,0,0.2
2,100,100,50,20,0,60,0.05,115,0.1,0,0.2
3,70,100,50,20,0,60,0.05,115,0.1,0,0.2
4,60,100,50,20,0,60,0.05,115,0.1,0,0.2
5,70,100,50,20,0,60,0.05,115,0.1,0,0.2
6,30,100,50,20,0,60,0.05,115,0.1,0,0.2
7,60,100,50,20,0,60,0.05,115,0.1,0,0.2
8,10,100,50,20,0,60,0.05,115,0.1,0,0.2
9,60,100,50,20,0,60,0.05,115,0.1,0,0.2
10,90,100,50,20,0,60,0.05,115,0.1,0,0.2
11,100,100,50,20,0,60,0.05,115,0.1,0,0.2
12,30,100,50,20,0,60,0.05,115,0.1,0,0.2
13,70,100,50,20,0,60,0.05,115,0.1,0,0.2
14,90,100,50,20,0,60,0.05,115,0.1,0,0.2
15,30,100,50,20,0,60,0.05,115,0.1,0,0.2
16,20,100,50,20,0,60,0.05,115,0.1,0,0.2
17,60,100,50,20,0,60,0.05,115,0.1,0,0.2
18,50,100,50,20,0,60,0.05,115,0.1,0,0.2
19,100,100,50,20,0,60,0.05,115,0.1,0,0.2
20,110,100,50,20,0,60,0.05,115,0.1,0,0.2
21,0,100,50,20,0,60,0.05,115,0.1,0,0.2
22,180,100,50,20,0,60,0.05,115,0.1,0,0.2
23,90,100,50,20,0,60,0.05,115,0.1,0,0.2
24,90,100,50,20,0,60,0.05,115,0.1,0,0.2
25,30,100,50,20,0,60,0.05,115,0.1,0,0.2
26,20,100,50,20,0,60,0.05,115,0.1,0,0.2
27,70,100,50,20,0,60,0.05,115,0.1,0,0.2
28,40,100,50,20,0,60,0.05,115,0.1,0,0.2
29,80,100,50,20,0,60,0.05,115,0.1,0,0.2
30,20,100,50,20,0,60,0.05,115,0.1,0,0.2
31,120,100,50,20,0,60,0.05,120,0.1,0,0.2
32,100,100,50,20,0,60,0.05,120,0.1,0,0.2
33,70,100,50,20,0,60,0.05,120,0.1,0,0.2
34,140,100,50,20,0,60,0.05,120,0.1,0,0.2
35,30,100,50,20,0,60,0.05,120,0.1,0,0.2
36,30,100,50,20,0,60,0.05,120,0.1,0,0.2
37,80,100,50,20,0,60,0.05,120,0.1,0,0.2
38,130,100,50,20,0,60,0.05,120,0.1,0,0.2
39,70,100,50,20,0,60,0.05,120,0.1,0,0.2
40,90,100,50,20,0,60,0.05,120,0.1,0,0.2
41,90,100,50,20,0,60,0.05,120,0.1,0,0.2
42,60,100,50,20,0,60,0.05,120,0.1,0,0.2
43,30,100,50,20,0,60,0.05,120,0.1,0,0.2
44,40,100,50,20,0,60,0.05,120,0.1,0,0.2
45,30,100,50,20,0,60,0.05,120,0.1,0,0.2
46,60,100,50,20,0,60,0.05,120,0.1,0,0.2
47,40,100,50,20,0,60,0.05,120,0.1,0,0.2
48,30,100,50,20,0,60,0.05,120,0.1,0,0.2
49,100,100,50,20,0,60,0.05,120,0.1,0,0.2
50,70,100,50,20,0,60,0.05,120,0.1,0,0.2
51,40,100,50,20,0,60,0.05,120,0.1,0,0.2
52,40,100,50,20,0,60,0.05,120,0.1,0,0.2
53,70,100,50,20,0,60,0.05,120,0.1,0,0.2
54,70,100,50,20,0,60,0.05,120,0.1,0,0.2
55,50,100,50,20,0,60,0.05,120,0.1,0,0.2
56,150,100,50,20,0,60,0.05,120,0.1,0,0.2
