Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,60,100,50,20,0,60,0.05,115,0.1,0,0.2
2,240,100,50,20,0,60,0.05,115,0.1,0,0.2
3,95,100,50,20,0,60,0.05,115,0.1,0,0.2
4,125,100,50,20,0,60,0.05,115,0.1,0,0.2
5,150,100,50,20,0,60,0.05,115,0.1,0,0.2
6,180,100,50,20,0,60,0.05,115,0.1,0,0.2
7,120,100,50,20,0,60,0.05,115,0.1,0,0.2
8,220,100,50,20,0,60,0.05,115,0.1,0,0.2
9,90,100,50,20,0,60,0.05,115,0.1,0,0.2
10,210,100,50,20,0,60,0.05,115,0.1,0,0.2
11,90,100,50,20,0,60,0.05,115,0.1,0,0.2
12,55,100,50,20,0,60,0.05,115,0.1,0,0.2
13,160,100,50,20,0,60,0.05,115,0.1,0,0.2
14,170,100,50,20,0,60,0.05,115,0.1,0,0.2
15,75,100,50,20,0,60,0.05,115,0.1,0,0.2
16,190,100,50,20,0,60,0.05,115,0.1,0,0.2
17,140,100,50,20,0,60,0.05,115,0.1,0,0.2
18,95,100,50,20,0,60,0.05,115,0.1,0,0.2
19,120,100,50,20,0,60,0.05,115,0.1,0,0.2
20,80,100,50,20,0,60,0.05,115,0.1,0,0.2
