Time (s),Grid Row,Grid Column,Soil Level,Plant Level,Coins
1,0,0,0,0,100
1,0,1,0,0,100
1,0,2,0,0,100
1,0,3,0,0,100
1,0,4,0,0,100
1,0,5,0,0,100
1,1,0,0,0,100
1,1,1,0,0,100
1,1,2,0,0,100
1,1,3,0,0,100
1,1,4,0,0,100
1,1,5,0,0,100
1,2,0,0,0,100
1,2,1,0,0,100
1,2,2,0,0,100
1,2,3,0,0,100
1,2,4,0,0,100
1,2,5,0,0,100
2,0,0,0,0,50
2,0,1,1,2,50
2,0,2,0,0,50
2,0,3,0,0,50
2,0,4,0,0,50
2,0,5,0,0,50
2,1,0,0,0,50
2,1,1,0,0,50
2,1,2,0,0,50
2,1,3,0,0,50
2,1,4,0,0,50
2,1,5,0,0,50
2,2,0,0,0,50
2,2,1,0,0,50
2,2,2,0,0,50
2,2,3,0,0,50
2,2,4,0,0,50
2,2,5,0,0,50
3,0,0,0,0,0
3,0,1,1,2,0
3,0,2,0,0,0
3,0,3,0,0,0
3,0,4,0,0,0
3,0,5,0,0,0
3,1,0,0,0,0
3,1,1,0,0,0
3,1,2,1,2,0
3,1,3,0,0,0
3,1,4,0,0,0
3,1,5,0,0,0
3,2,0,0,0,0
3,2,1,0,0,0
3,2,2,0,0,0
3,2,3,0,0,0
3,2,4,0,0,0
3,2,5,0,0,0
4,0,0,0,0,0
4,0,1,1,3,0
4,0,2,0,0,0
4,0,3,0,0,0
4,0,4,0,0,0
4,0,5,0,0,0
4,1,0,0,0,0
4,1,1,0,0,0
4,1,2,1,2,0
4,1,3,0,0,0
4,1,4,0,0,0
4,1,5,0,0,0
4,2,0,0,0,0
4,2,1,0,0,0
4,2,2,0,0,0
4,2,3,0,0,0
4,2,4,0,0,0
4,2,5,0,0,0
5,0,0,0,0,0
5,0,1,1,3,0
5,0,2,0,0,0
5,0,3,0,0,0
5,0,4,0,0,0
5,0,5,0,0,0
5,1,0,0,0,0
5,1,1,0,0,0
5,1,2,1,3,0
5,1,3,0,0,0
5,1,4,0,0,0
5,1,5,0,0,0
5,2,0,0,0,0
5,2,1,0,0,0
5,2,2,0,0,0
5,2,3,0,0,0
5,2,4,0,0,0
5,2,5,0,0,0
6,0,0,0,0,0
6,0,1,1,4,0
6,0,2,0,0,0
6,0,3,0,0,0
6,0,4,0,0,0
6,0,5,0,0,0
